"rt_temp.subj","rt_temp.valence","rt_temp.effort","rt_temp.target.pos","rt_temp.mean","rt_temp.ci"
"mPFE3_01","neg","EXR","stim.near",192.925,8.415
"mPFE3_01","pos","EXR","stim.near",199,11.371
"mPFE3_01","neg","EXR","stim.far",189.897,7.181
"mPFE3_01","pos","EXR","stim.far",195.7,14.02
"mPFE3_01","neg","RLX","stim.near",231.1,18.28
"mPFE3_01","pos","RLX","stim.near",229.3,22.349
"mPFE3_01","neg","RLX","stim.far",210.667,14.243
"mPFE3_01","pos","RLX","stim.far",230.775,23.684
"mPFE3_02","neg","EXR","stim.near",188.385,7.466
"mPFE3_02","pos","EXR","stim.near",188.975,6.216
"mPFE3_02","neg","EXR","stim.far",171.436,8.649
"mPFE3_02","pos","EXR","stim.far",180.375,8.962
"mPFE3_02","neg","RLX","stim.near",229.15,16.936
"mPFE3_02","pos","RLX","stim.near",210.949,13.416
"mPFE3_02","neg","RLX","stim.far",200.025,15.092
"mPFE3_02","pos","RLX","stim.far",204.615,15.783
"mPFE3_03","neg","EXR","stim.near",172.053,11.657
"mPFE3_03","pos","EXR","stim.near",174.868,12.518
"mPFE3_03","neg","EXR","stim.far",159.5,9.727
"mPFE3_03","pos","EXR","stim.far",160.359,10.545
"mPFE3_03","neg","RLX","stim.near",250.744,21.783
"mPFE3_03","pos","RLX","stim.near",221.103,20.784
"mPFE3_03","neg","RLX","stim.far",206.051,15.775
"mPFE3_03","pos","RLX","stim.far",222.575,17.036
"mPFE3_04","neg","EXR","stim.near",197.55,9.16
"mPFE3_04","pos","EXR","stim.near",180.925,9.283
"mPFE3_04","neg","EXR","stim.far",187.641,9.327
"mPFE3_04","pos","EXR","stim.far",189.632,9.596
"mPFE3_04","neg","RLX","stim.near",223.026,19.183
"mPFE3_04","pos","RLX","stim.near",222.55,18.035
"mPFE3_04","neg","RLX","stim.far",216,16.322
"mPFE3_04","pos","RLX","stim.far",204.795,16.347
"mPFE3_05","neg","EXR","stim.near",221.625,13.128
"mPFE3_05","pos","EXR","stim.near",219.59,13.674
"mPFE3_05","neg","EXR","stim.far",226.825,14.921
"mPFE3_05","pos","EXR","stim.far",231.6,21.323
"mPFE3_05","neg","RLX","stim.near",273.55,21.597
"mPFE3_05","pos","RLX","stim.near",280.564,29.451
"mPFE3_05","neg","RLX","stim.far",239.6,16.003
"mPFE3_05","pos","RLX","stim.far",248.9,19.675
"mPFE3_06","neg","EXR","stim.near",234.95,9.838
"mPFE3_06","pos","EXR","stim.near",226.375,8.041
"mPFE3_06","neg","EXR","stim.far",222.846,14.685
"mPFE3_06","pos","EXR","stim.far",228.875,9.01
"mPFE3_06","neg","RLX","stim.near",231.125,14.026
"mPFE3_06","pos","RLX","stim.near",227.5,14.177
"mPFE3_06","neg","RLX","stim.far",221.025,8.859
"mPFE3_06","pos","RLX","stim.far",223.45,10.125
"mPFE3_07","neg","EXR","stim.near",278.135,22.226
"mPFE3_07","pos","EXR","stim.near",260.5,15.004
"mPFE3_07","neg","EXR","stim.far",251,21.322
"mPFE3_07","pos","EXR","stim.far",264.175,17.332
"mPFE3_07","neg","RLX","stim.near",325.892,23.567
"mPFE3_07","pos","RLX","stim.near",323.718,36.885
"mPFE3_07","neg","RLX","stim.far",290.108,22.936
"mPFE3_07","pos","RLX","stim.far",311.025,27.054
"mPFE3_08","neg","EXR","stim.near",214.237,12.197
"mPFE3_08","pos","EXR","stim.near",218.771,11.867
"mPFE3_08","neg","EXR","stim.far",199.727,10.037
"mPFE3_08","pos","EXR","stim.far",205.205,9.177
"mPFE3_08","neg","RLX","stim.near",249.103,15.349
"mPFE3_08","pos","RLX","stim.near",247.211,15.593
"mPFE3_08","neg","RLX","stim.far",223.231,7.018
"mPFE3_08","pos","RLX","stim.far",231.7,11.096
"mPFE3_09","neg","EXR","stim.near",239.025,7.903
"mPFE3_09","pos","EXR","stim.near",233.769,8.815
"mPFE3_09","neg","EXR","stim.far",234.487,7.891
"mPFE3_09","pos","EXR","stim.far",237.875,9.805
"mPFE3_09","neg","RLX","stim.near",250.368,9.409
"mPFE3_09","pos","RLX","stim.near",252.475,10.349
"mPFE3_09","neg","RLX","stim.far",232.875,10.788
"mPFE3_09","pos","RLX","stim.far",250.625,15.801
"mPFE3_10","neg","EXR","stim.near",252.375,13.652
"mPFE3_10","pos","EXR","stim.near",258.775,15.421
"mPFE3_10","neg","EXR","stim.far",257.275,14.884
"mPFE3_10","pos","EXR","stim.far",251.55,13.315
"mPFE3_10","neg","RLX","stim.near",281.5,21.258
"mPFE3_10","pos","RLX","stim.near",291.05,24.29
"mPFE3_10","neg","RLX","stim.far",269.9,21.922
"mPFE3_10","pos","RLX","stim.far",285.475,19.428
"mPFE3_11","neg","EXR","stim.near",222.513,9.476
"mPFE3_11","pos","EXR","stim.near",216,9.658
"mPFE3_11","neg","EXR","stim.far",214.05,6.864
"mPFE3_11","pos","EXR","stim.far",214.725,6.308
"mPFE3_11","neg","RLX","stim.near",222.45,10.014
"mPFE3_11","pos","RLX","stim.near",224.35,11.033
"mPFE3_11","neg","RLX","stim.far",223.718,9.25
"mPFE3_11","pos","RLX","stim.far",216.15,9.346
"mPFE3_12","neg","EXR","stim.near",267.487,14.871
"mPFE3_12","pos","EXR","stim.near",260.744,17.008
"mPFE3_12","neg","EXR","stim.far",247.675,20.791
"mPFE3_12","pos","EXR","stim.far",249.85,10.873
"mPFE3_12","neg","RLX","stim.near",260.7,15.05
"mPFE3_12","pos","RLX","stim.near",259.132,15.668
"mPFE3_12","neg","RLX","stim.far",238.718,15.239
"mPFE3_12","pos","RLX","stim.far",246.282,9.961
"mPFE3_13","neg","EXR","stim.near",216.075,18.886
"mPFE3_13","pos","EXR","stim.near",214.125,11.889
"mPFE3_13","neg","EXR","stim.far",204.385,12.022
"mPFE3_13","pos","EXR","stim.far",212.289,14.649
"mPFE3_13","neg","RLX","stim.near",265.85,17.022
"mPFE3_13","pos","RLX","stim.near",261.05,19.13
"mPFE3_13","neg","RLX","stim.far",247.974,21.723
"mPFE3_13","pos","RLX","stim.far",256.2,19.585
"mPFE3_14","neg","EXR","stim.near",252.949,13.43
"mPFE3_14","pos","EXR","stim.near",253.658,14.817
"mPFE3_14","neg","EXR","stim.far",251.553,18.246
"mPFE3_14","pos","EXR","stim.far",237.41,10.158
"mPFE3_14","neg","RLX","stim.near",269.45,15.049
"mPFE3_14","pos","RLX","stim.near",279.9,16.431
"mPFE3_14","neg","RLX","stim.far",270,14.197
"mPFE3_14","pos","RLX","stim.far",263.025,10.815
"mPFE3_15","neg","EXR","stim.near",227.775,8.161
"mPFE3_15","pos","EXR","stim.near",233.95,8.92
"mPFE3_15","neg","EXR","stim.far",228.175,8.845
"mPFE3_15","pos","EXR","stim.far",238.175,8.636
"mPFE3_15","neg","RLX","stim.near",255.375,12.209
"mPFE3_15","pos","RLX","stim.near",248.2,9.04
"mPFE3_15","neg","RLX","stim.far",241.85,6.026
"mPFE3_15","pos","RLX","stim.far",252.775,11.269
"mPFE3_16","neg","EXR","stim.near",224.925,12.637
"mPFE3_16","pos","EXR","stim.near",235.15,16.51
"mPFE3_16","neg","EXR","stim.far",214.289,8.777
"mPFE3_16","pos","EXR","stim.far",214.9,12.136
"mPFE3_16","neg","RLX","stim.near",252.275,11.005
"mPFE3_16","pos","RLX","stim.near",250.615,13.942
"mPFE3_16","neg","RLX","stim.far",231.275,11.619
"mPFE3_16","pos","RLX","stim.far",229.15,10.895
"mPFE3_17","neg","EXR","stim.near",221.474,12.626
"mPFE3_17","pos","EXR","stim.near",230.622,18.326
"mPFE3_17","neg","EXR","stim.far",208.179,14.175
"mPFE3_17","pos","EXR","stim.far",226.575,15.77
"mPFE3_17","neg","RLX","stim.near",269.35,12.185
"mPFE3_17","pos","RLX","stim.near",280.605,22.282
"mPFE3_17","neg","RLX","stim.far",242.974,10.192
"mPFE3_17","pos","RLX","stim.far",243.158,10.12
"mPFE3_19","neg","EXR","stim.near",237.475,10.407
"mPFE3_19","pos","EXR","stim.near",233.4,11.877
"mPFE3_19","neg","EXR","stim.far",227.921,10.823
"mPFE3_19","pos","EXR","stim.far",234.375,16.588
"mPFE3_19","neg","RLX","stim.near",251.55,11.378
"mPFE3_19","pos","RLX","stim.near",263.667,15.157
"mPFE3_19","neg","RLX","stim.far",243.375,14.065
"mPFE3_19","pos","RLX","stim.far",249.225,20.857
"mPFE3_20","neg","EXR","stim.near",266.133,17.754
"mPFE3_20","pos","EXR","stim.near",246.1,21.087
"mPFE3_20","neg","EXR","stim.far",256.241,22.698
"mPFE3_20","pos","EXR","stim.far",278.4,28.459
"mPFE3_20","neg","RLX","stim.near",288.967,22.886
"mPFE3_20","pos","RLX","stim.near",258.733,17.495
"mPFE3_20","neg","RLX","stim.far",254.893,25.152
"mPFE3_20","pos","RLX","stim.far",271.276,31.751
